city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Ponte Nova,Ponte Nova,-20.4096,-42.9,Brazil,BR,BRA,Minas Gerais,,48187.0,1076567178
Guaxupé,Guaxupe,-21.29,-46.71,Brazil,BR,BRA,Minas Gerais,,47889.0,1076985230
Goianésia,Goianesia,-15.3096,-49.13,Brazil,BR,BRA,Goiás,,47883.0,1076636505
Capanema,Capanema,-1.19,-47.18,Brazil,BR,BRA,Pará,,47766.0,1076799309
Itamaraju,Itamaraju,-17.0396,-39.5299,Brazil,BR,BRA,Bahia,,47628.0,1076241282
Campo Belo,Campo Belo,-20.8896,-45.28,Brazil,BR,BRA,Minas Gerais,,47491.0,1076477943
Itaberaba,Itaberaba,-12.5196,-40.3,Brazil,BR,BRA,Bahia,,47301.0,1076160849
Breves,Breves,-1.68,-50.49,Brazil,BR,BRA,Pará,,47164.0,1076061751
Leopoldina,Leopoldina,-21.53,-42.64,Brazil,BR,BRA,Minas Gerais,,46742.0,1076352077
Irati,Irati,-25.47,-50.66,Brazil,BR,BRA,Paraná,,45830.0,1076276918
Cametá,Cameta,-2.2396,-49.51,Brazil,BR,BRA,Pará,,45200.0,1076010069
Piripiri,Piripiri,-4.2696,-41.79,Brazil,BR,BRA,Piauí,,44864.0,1076867493
Camocim,Camocim,-2.9,-40.85,Brazil,BR,BRA,Ceará,,44481.0,1076563942
Aracati,Aracati,-4.56,-37.77,Brazil,BR,BRA,Ceará,,44293.0,1076708817
Inhumas,Inhumas,-16.36,-49.5,Brazil,BR,BRA,Goiás,,44058.0,1076130930
Imbituba,Imbituba,-28.2296,-48.66,Brazil,BR,BRA,Santa Catarina,,43450.0,1076391605
Araranguá,Ararangua,-28.94,-49.5,Brazil,BR,BRA,Santa Catarina,,43444.0,1076532332
Canindé,Caninde,-4.35,-39.31,Brazil,BR,BRA,Ceará,,42720.0,1076519156
Salgueiro,Salgueiro,-8.0596,-39.13,Brazil,BR,BRA,Pernambuco,,42152.0,1076679973
Penedo,Penedo,-10.2696,-36.58,Brazil,BR,BRA,Alagoas,,42097.0,1076906021
Castro,Castro,-24.79,-50.01,Brazil,BR,BRA,Paraná,,42091.0,1076233349
Brumado,Brumado,-14.21,-41.67,Brazil,BR,BRA,Bahia,,41989.0,1076669684
Canoinhas,Canoinhas,-26.18,-50.4,Brazil,BR,BRA,Santa Catarina,,41498.0,1076606234
Jaguaquara,Jaguaquara,-13.53,-39.97,Brazil,BR,BRA,Bahia,,41498.0,1076420862
Garça,Garca,-22.22,-49.66,Brazil,BR,BRA,São Paulo,,41302.0,1076270928
Palmeira dos Índios,Palmeira dos Indios,-9.4166,-36.6166,Brazil,BR,BRA,Alagoas,,41095.0,1076723276
